,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
93,Ian Poulter,"2,401",41,"2,401","19,998","19,998",68,297,297,474,380,380,612,-0.29,11.677,11.677,-.281,-.281,-.080,.268,8.698,8.698,-2.978,11.677,149,149,232,162,13,0,,"2,680",,,,,,2017
94,Sepp Straka,"4,949",75,"4,949","39,959","39,959",132,580,580,974,841,841,"1,260",-0.26,8.252,8.252,.093,.093,-.197,-.018,2.175,2.175,-6.077,8.252,249,249,419,897,23,1,3,"1,945",,1,1,,1,2017
95,Brandon Wu,"3,226",50,"3,226","26,757","26,757",92,388,388,635,567,567,828,-0.31,11.381,11.381,-.046,-.046,.020,-.391,-.302,-.302,-11.683,11.381,153,153,261,374,17,0,2,"2,468",,,,1,1,2017
96,David Lipsky,"4,087",62,"4,087","34,116","34,116",116,525,525,801,712,712,"1,044",-0.30,-2.613,-2.613,-.091,-.091,.346,-.005,8.386,8.386,10.999,-2.613,184,184,332,402,20,0,3,"2,440",,,,,,2017
97,Tyler Duncan,"3,718",57,"3,718","31,109","31,109",106,505,505,731,654,654,954,-0.28,-14.395,-14.395,.234,.234,.245,.061,5.031,5.031,19.426,-14.395,181,181,300,245,18,0,,"2,597",,,,,,2017
98,Kevin Streelman,"4,512",64,"4,512","37,918","37,918",128,613,613,883,751,751,"1,152",-0.25,2.562,2.562,.290,.290,-.185,.160,17.450,17.450,14.886,2.562,256,256,401,294,19,0,1,"2,548",,,,,,2017
99,Ryan Armour,"2,537",40,"2,537","20,594","20,594",72,375,375,501,441,441,648,-0.23,-5.777,-5.777,.420,.420,.071,-.009,5.307,5.307,11.084,-5.777,134,134,207,141,13,0,,"2,701",,,,,,2017
100,Doug Ghim,"3,944",60,"3,944","30,736","30,736",104,489,489,776,671,671,"1,008",-0.26,-19.841,-19.841,.017,.017,.411,.121,4.328,4.328,24.169,-19.841,210,210,337,240,18,0,1,"2,602",,,,,,2017
101,Nick Taylor,"4,384",62,"4,384","36,606","36,606",124,519,519,857,731,731,"1,116",-0.25,-7.622,-7.622,.025,.025,.119,.019,.043,.043,7.663,-7.622,243,243,385,291,19,0,,"2,551",,,,,,2017
102,Peter Malnati,"5,279",75,"5,279","42,000","42,000",142,552,552,"1,037",870,870,"1,350",-0.31,15.364,15.364,-.298,-.298,.105,.133,11.792,11.792,-3.573,15.364,294,294,480,385,22,0,2,"2,457",,,,,,2017
